support,itemsets
0.03816666666666667,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment'})"
0.292,"frozenset({'Apples, PARTCON= W/o peel'})"
0.07216666666666667,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed'})"
0.033166666666666664,"frozenset({'Apricots, PROCESS= Unprocessed'})"
0.063,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment'})"
0.03866666666666667,"frozenset({'Barley coffee infusion, QUAL= Without added sugar'})"
0.073,frozenset({'Beer'})
0.14483333333333334,"frozenset({'Biscuits, sweet, plain'})"
0.04083333333333333,"frozenset({'Biscuits, sweet, plain, INGRED= Cocoa powder'})"
0.025333333333333333,"frozenset({'Biscuits, sweet, plain, PLACE= Food industry prepared'})"
0.029166666666666667,"frozenset({'Biscuits, sweet, wheat wholemeal'})"
0.033,frozenset({'Bitter-sweet chocolate'})
0.03133333333333333,"frozenset({'Borlotti or other common beans (without pods), PROCESS= Raw, no heat treatment'})"
0.11216666666666666,frozenset({'Bottled drinking water'})
0.171,"frozenset({'Breadcrumbs, QUAL= White/refined'})"
0.20366666666666666,frozenset({'Butter'})
0.03866666666666667,frozenset({'Butter biscuits'})
0.14883333333333335,"frozenset({'Calf fresh meat, PROCESS= Raw, no heat treatment'})"
0.08216666666666667,"frozenset({'Canned tunas and similar, MEDIUM= In vegetable oil'})"
0.2728333333333333,"frozenset({'Carrots, PROCESS= Raw, no heat treatment'})"
0.020833333333333332,"frozenset({'Cauliflowers, PROCESS= Raw, no heat treatment'})"
0.17983333333333335,"frozenset({'Cavendishes, PROCESS= Unprocessed'})"
0.22133333333333333,frozenset({'Celery leaves'})
0.030166666666666668,"frozenset({'Ceps, PROCESS= Raw, no heat treatment'})"
0.0315,"frozenset({'Cheese, crescenza, RACSOURCE= Cow milk, whole'})"
0.031,"frozenset({'Cheese, emmental'})"
0.02033333333333333,"frozenset({'Cheese, fontina'})"
0.06716666666666667,"frozenset({'Cheese, grana padano'})"
0.0265,"frozenset({'Cheese, gruyere'})"
0.43633333333333335,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.08383333333333333,"frozenset({'Cheese, pecorino romano'})"
0.0835,"frozenset({'Chicken fresh meat, PART= Breast (as part-nature), PROCESS= Raw, no heat treatment'})"
0.04583333333333333,"frozenset({'Chicken fresh meat, PARTCON= Including visible fat, PROCESS= Raw, no heat treatment'})"
0.06766666666666667,"frozenset({'Chili peppers, PROCESS= Raw, no heat treatment'})"
0.03333333333333333,frozenset({'Chocolate spread'})
0.03383333333333333,"frozenset({'Cod, STATE= Whole/unsplit form, including artificial forms, PROCESS= Raw, no heat treatment'})"
0.7295,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.067,"frozenset({'Cola beverages, caffeinic'})"
0.07266666666666667,"frozenset({'Common mushrooms, PROCESS= Raw, no heat treatment'})"
0.08766666666666667,"frozenset({'Common peaches, PROCESS= Unprocessed'})"
0.15766666666666668,frozenset({'Cooked pork ham'})
0.11566666666666667,"frozenset({'Courgettes, PROCESS= Raw, no heat treatment'})"
0.248,"frozenset({'Cow milk, semi skimmed (half fat)'})"
0.024833333333333332,"frozenset({'Cow milk, skimmed (low fat)'})"
0.434,"frozenset({'Cow milk, whole'})"
